birth_year,gender,x102,x103,x104,x108,x109,x113,x114,x118,x119,x130,x140,x210,x258,x323
64,1,1,1,1,4,6,4,2,4,4,11,3,2,1,35
39,2,1,1,1,2,6,2,1,2,4,8,1,15,1,55
40,1,1,1,1,6,5,5,1,5,4,21,1,17,1,156
43,2,1,1,1,5,5,4,1,5,4,17,1,15,1,47
15,1,1,1,2,1,2,1,4,3,4,13,1,49,NA,47
22,2,1,1,2,1,6,1,3,4,4,6,1,20,1,35
45,2,1,1,1,2,6,4,3,2,4,17,1,11,1,54
46,1,1,1,1,4,8,2,2,3,4,14,1,17,1,63
32,1,1,1,2,2,1,2,4,3,4,16,1,35,1,62
33,2,1,1,1,1,1,1,1,2,4,7,1,17,1,44
37,1,1,1,1,4,4,7,3,3,4,10,1,27,1,58
41,2,1,1,1,2,1,2,1,2,4,12,1,14,1,44
21,2,1,1,1,2,1,2,1,2,4,6,1,31,1,42
37,2,1,1,1,6,4,4,3,5,4,12,2,24,2,39
32,1,1,1,1,1,1,2,1,2,4,8,2,44,1,48
37,2,1,1,1,2,2,2,1,4,4,9,1,31,1,39
36,1,1,1,1,3,8,2,3,4,4,13,1,30,1,78
44,2,1,1,1,2,1,2,1,2,4,11,1,21,1,47
34,1,1,1,1,3,2,2,4,4,4,17,1,24,1,71
32,2,1,1,1,6,4,4,1,5,4,14,1,25,1,55
43,1,1,1,4,2,6,2,1,2,4,15,1,24,1,84
43,2,1,1,1,2,2,2,4,3,4,14,1,20,1,47
40,1,1,1,1,3,2,2,2,3,4,13,1,23,1,77
40,2,1,1,2,3,8,2,2,4,4,9,1,19,1,33
21,1,1,1,1,1,6,1,1,3,3,7,1,47,1,49
24,2,1,1,1,8,1,1,1,2,3,6,1,30,1,34
49,1,1,1,1,2,7,2,4,4,3,10,1,12,1,40
56,1,1,1,1,5,5,2,4,4,3,13,3,7,1,47
52,2,4,2,1,1,1,1,4,1,3,4,1,14,1,20
26,1,1,1,1,2,6,2,1,4,3,16,1,39,1,94
24,2,1,1,1,2,1,2,1,2,3,7,1,44,1,39
57,1,4,2,1,2,6,4,4,1,3,10,3,10,1,35
57,1,1,1,1,5,2,4,4,4,3,18,2,3,1,42
32,1,1,1,6,8,4,8,5,2,3,7,2,38,1,42
28,2,1,1,1,2,1,2,1,2,3,7,2,38,1,31
56,1,4,2,1,6,5,1,1,1,3,18,3,6,1,34
64,2,1,1,1,6,5,6,4,3,1,12,3,4,NA,28
35,1,1,1,1,1,2,1,1,3,1,25,1,32,2,97
36,2,1,1,1,3,2,2,1,3,1,14,1,26,1,62
39,1,1,1,1,2,1,2,1,2,1,7,2,29,1,69
55,2,4,2,1,4,4,4,1,1,1,14,1,9,1,44
41,1,1,1,1,2,1,2,1,2,1,13,1,24,1,47
50,1,1,1,4,2,8,3,2,5,1,16,1,14,1,43
50,2,1,1,1,4,5,4,1,5,1,20,1,17,1,448
62,1,1,1,1,2,8,2,4,3,1,12,2,2,1,52
37,1,1,1,1,2,8,2,2,2,1,11,1,31,1,70
39,1,4,1,1,2,5,4,3,1,1,16,1,31,1,59
39,2,4,1,1,2,1,2,1,1,1,11,1,12,1,38
29,1,1,1,1,2,2,2,1,2,1,14,1,34,1,76
56,2,1,1,1,2,5,6,3,5,1,15,2,7,1,43
55,1,4,2,1,6,4,2,2,5,1,14,2,9,1,58
65,2,1,1,1,4,5,2,2,5,1,12,3,3,NA,30
36,1,1,1,1,5,4,4,2,3,1,13,1,31,1,74
38,2,1,1,3,2,4,2,2,5,1,11,1,27,1,42
43,1,1,1,6,2,5,2,3,5,1,10,2,23,1,65
44,2,1,1,2,2,6,2,3,3,1,16,2,21,1,47
50,1,1,1,1,5,4,3,1,5,1,12,3,15,1,55
56,1,4,2,1,2,1,2,1,1,1,13,3,8,1,37
47,2,4,2,1,2,2,2,1,1,1,14,1,15,1,49
48,1,4,1,1,2,4,2,1,1,1,12,1,17,1,38
36,1,1,1,1,2,1,2,1,2,1,8,1,31,1,63
41,2,1,1,1,2,6,5,3,5,1,9,1,25,1,38
26,1,3,1,2,8,2,4,4,2,1,14,1,34,1,66
43,2,1,1,1,2,8,2,2,2,1,9,1,17,NA,35
41,1,1,1,1,2,1,2,3,5,1,10,1,17,1,58
26,1,4,2,1,6,2,3,1,1,1,11,1,40,1,41
44,2,4,2,1,1,8,2,2,1,1,15,1,24,1,88
42,2,2,1,1,1,1,2,1,1,1,10,1,21,1,33
36,1,1,1,1,1,1,2,1,2,1,13,1,30,1,50
40,1,1,1,1,5,4,5,3,4,1,15,1,27,1,60
35,2,1,1,1,3,8,1,1,4,1,8,1,22,1,43
24,1,1,1,1,1,6,1,4,5,1,12,1,40,1,63
28,2,1,1,1,2,2,2,1,3,1,15,1,23,1,67
56,1,1,1,1,2,6,5,3,5,1,9,3,12,1,47
53,2,4,2,1,2,1,2,1,1,1,10,1,12,1,34
25,2,1,1,1,2,4,4,1,3,1,12,2,40,1,32
35,1,1,1,1,3,4,2,1,2,1,14,2,32,1,67
41,1,2,2,1,2,7,2,2,1,1,11,1,27,1,47
43,2,2,2,1,2,6,2,3,1,1,9,1,10,1,41
48,1,1,1,1,2,2,2,2,5,1,13,1,20,2,64
50,2,1,1,1,2,8,2,4,5,1,9,1,16,1,41
61,2,1,1,1,2,8,2,2,3,1,8,2,7,1,42
53,1,1,1,1,2,7,2,2,3,1,11,2,15,1,41
48,2,1,1,1,4,7,3,1,5,1,16,1,15,1,41
32,1,1,1,3,3,6,2,1,5,1,13,1,36,1,117
41,2,1,1,1,2,2,3,2,5,1,12,1,16,1,38
47,2,1,1,1,6,5,4,2,5,1,14,1,14,1,31
